drug_a,drug_b,label
TAM,"1,25(OH)2D3",effect
"1,25(OH)2D3",TAM,effect
Vitamin D3,arsenate,mechanism
acetaminophen,caffeine,effect
acetaminophen,caffeine,effect
Amprenavir,rifabutin,mechanism
Amprenavir,25-O-desacetylrifabutin,mechanism
Rifampin,amprenavir,mechanism
Amprenavir,rifabutin,effect
Rifampin,amprenavir,mechanism
Amprenavir,rifabutin,mechanism
Amprenavir,25-O-desacetylrifabutin,mechanism
penicillins,probenecid,mechanism
cephaloridine,probenecid,mechanism
probenecid,cloxacillin,mechanism
Cypermethrin,vitamin E,effect
Cypermethrin,allopurinol,effect
allopurinol,cypermethrin,effect
Vitamin E,cypermethrin,effect
cypermethrin,allopurinol,effect
cypermethrin,Vitamin E,effect
pentazocine,tripelennamine,effect
tripelennamine,pentazocine,effect
neurotensin,enkephalins,effect
neurotensin,tuftsin,effect
neurotensin,enkephalins,effect
neurotensin,tuftsin,effect
neurotensin,tuftsin,effect
Diazepam,morphine,effect
diazepam,metamizol,effect
diazepam,indomethacin,effect
Midazolam,morphine,effect
Midazolam,metamizol,effect
Midazolam,indomethacin,effect
Echistatin,contortrostatin,effect
Flavoridin,contortrostatin,effect
Etofibrate,heparin,effect
MPTP,pargyline,effect
MPTP,amphetamine,effect
MPTP,apomorphine,effect
Methamphetamine,pargyline,effect
prostaglandin F2alpha,oxytocin,int
PGF2alpha,oxytocin,effect
PGF2alpha,oxytocin,effect
glycine,glutamate,effect
glycine,glutamate,effect
Sildenafil,long-acting nitrates,advise
Sildenafil,short-acting nitrates,advise
verapamil,bombesin,effect
Verapamil,bombesin,effect
trichlorfon,coumaphos,effect
phenobarbital sodium,coumaphos,effect
diltiazem,sirolimus,mechanism
sirolimus,diltiazem,mechanism
sirolimus,diltiazem,mechanism
diltiazem,sirolimus,mechanism
sirolimus,diltiazem,advise
antidepressant drugs,hypoglycemic agents,int
DCG-IV,PCP,effect
Misonidazole,CCNU,effect
Misonidazole,CCNU,effect
Misonidazole,CCNU,mechanism
CCNU,misonidazole,mechanism
trovafloxacin,opiate,mechanism
trovafloxacin,morphine,mechanism
ciprofloxacin,opiate,mechanism
ciprofloxacin,morphine,mechanism
thiabendazole,melarsoprol,effect
picrotoxin,diazepam,effect
picrotoxin,phenazepam,effect
picrotoxin,phenibut,effect
picrotoxin,amizyl,effect
picrotoxin,phentolamine,effect
ofloxacin,KRM-1648,effect
rifampicin,ofloxacin,effect
rifabutin,ofloxacin,effect
naloxone,beta-endorphin,effect
naloxone,beta-endorphin,effect
naloxone,morphine,effect
naloxone,beta-endorphin,effect
naloxone,morphine,effect
ouabain,PTX,effect
ouabain,phentolamine,effect
ouabain,PTX,effect
cobalt,iron,mechanism
iron,cobalt,mechanism
iron,cobalt,mechanism
Fe,cobalt,mechanism
iron,cobalt,mechanism
(-)-NANM,morphine,effect
(-)-NANM,naloxone,effect
naloxone,(-)-NANM,effect
naloxone,morphine,effect
Haloperidol,(+)-NANM,effect
Haloperidol,PCP,effect
phenytoin,quetiapine,mechanism
ketamine,halothane,int
halothane,ketamine,mechanism
ketamine,halothane,mechanism
ketamine,halothane,effect
estradiol,noradrenaline,effect
estradiol,noradrenaline,effect
Cytochalasin D,carbachol,effect
Cytochalasin D,carbachol,effect
lead,alcohol,effect
ethanol,acetaldehyde,effect
nitrate,sildenafil,effect
4-methylpyrazole,"1,3-difluoro-2-propanol",effect
4-methylpyrazole,"1,3-difluoro-2-propanol",effect
ibogaine,morphine,effect
ibogaine,nicotine,effect
18-MC,morphine,effect
18-MC,nicotine,effect
ibogaine,cocaine,effect
Ibogaine,morphine,effect
18-MC,morphine,effect
indinavir,didanosine,mechanism
indinavir,didanosine,mechanism
Indinavir,didanosine,advise
METH,SCH-23390,effect
InsP(3),RR,effect
RR,InsP(3),effect
theophylline,phenytoin,mechanism
theophylline,phenytoin,mechanism
phenytoin,theophylline,effect
carbamazepine,tricyclic antidepressant,effect
carbamazepine,tricyclic antidepressants,advise
Dexamethasone,EGF,effect
Dexamethasone,insulin,effect
retinyl acetate,EGF,effect
retinyl acetate,insulin,effect
dexamethasone,EGF,effect
dexamethasone,insulin,effect
retinyl acetate,EGF,effect
retinyl acetate,insulin,effect
Dexamethasone,EGF,effect
retinyl acetate,EGF,effect
dexamethasone,EGF,effect
retinyl acetate,EGF,effect
retinyl acetate,insulin,effect
dexamethasone,insulin,effect
dexamethasone,EGF,effect
retinyl acetate,insulin,effect
retinyl acetate,EGF,effect
